"Table 210-06822 : Labour force and labour force participation rate by District Council district, sex and age (excluding foreign domestic helpers)",,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
 , , ,Labour force (excluding foreign domestic helpers) (1),Labour force (excluding foreign domestic helpers) (1),Labour force (excluding foreign domestic helpers) (1),Labour force (excluding foreign domestic helpers) (1),Labour force (excluding foreign domestic helpers) (1),Labour force (excluding foreign domestic helpers) (1),Labour force (excluding foreign domestic helpers) (1),Labour force participation rate (excluding foreign domestic helpers) (2),Labour force participation rate (excluding foreign domestic helpers) (2),Labour force participation rate (excluding foreign domestic helpers) (2),Labour force participation rate (excluding foreign domestic helpers) (2),Labour force participation rate (excluding foreign domestic helpers) (2),Labour force participation rate (excluding foreign domestic helpers) (2),Labour force participation rate (excluding foreign domestic helpers) (2)
,,,No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),(%),(%),(%),(%),(%),(%),(%)
Age group,Age group,Age group,15 - 24,25 - 54,25 - 54,25 - 54,25 - 54,55 and over,Overall,15 - 24,25 - 54,25 - 54,25 - 54,25 - 54,55 and over,Overall
Age group,Age group,Age group,,25 - 34,35 - 44,45 - 54,Overall,,,,25 - 34,35 - 44,45 - 54,Overall,,
Year,District Council district (DCD),Sex,,,,,,,,,,,,,,
2021,Kwai Tsing,Female,7.2,24.0,24.8,27.3,76.1,24.8,108.2,35.8,83.1,72.4,65.6,72.7,25.0,48.2
2021,Kwai Tsing,Both sexes,15.0,52.2,53.2,57.9,163.3,59.5,237.9,35.8,89.1,83.0,76.1,82.1,32.0,55.7
2021,Tsuen Wan,Male,4.2,17.3,20.3,22.1,59.6,21.8,85.5,34.0,93.5,96.1,93.8,94.5,43.3,68.1
2021,Tsuen Wan,Female,3.8,16.8,18.3,18.8,53.8,14.4,72.1,32.2,85.1,72.4,71.2,75.4,25.8,51.8
2021,Tsuen Wan,Both sexes,8.0,34.1,38.5,40.8,113.4,36.1,157.6,33.1,89.2,83.2,81.8,84.4,34.1,59.6
2021,Tuen Mun,Male,7.3,31.3,35.0,28.3,94.6,39.3,141.3,37.2,94.6,95.7,92.1,94.2,44.6,67.8
2021,Tuen Mun,Female,6.5,26.3,27.6,27.4,81.3,23.5,111.3,35.9,83.9,68.3,69.1,73.0,25.1,49.9
2021,Tuen Mun,Both sexes,13.8,57.6,62.6,55.7,175.9,62.8,252.5,36.5,89.4,81.4,79.1,83.1,34.6,58.6
2021,Yuen Long,Male,11.6,44.5,42.2,37.8,124.5,47.7,183.7,38.7,93.3,93.1,90.5,92.4,45.2,68.0
2021,Yuen Long,Female,10.5,37.8,33.9,35.1,106.8,27.9,145.2,37.6,80.1,64.5,62.2,68.4,26.2,50.0
2021,Yuen Long,Both sexes,22.1,82.3,76.1,72.9,231.2,75.6,328.9,38.1,86.8,77.7,74.3,79.5,35.7,58.7
2021,North,Male,5.2,18.6,17.3,16.4,52.3,23.2,80.7,37.6,90.8,94.6,91.4,92.2,41.6,63.9
2021,North,Female,4.5,16.2,14.1,15.5,45.7,15.3,65.5,33.1,81.1,62.5,60.6,67.2,27.1,47.5
2021,North,Both sexes,9.7,34.8,31.4,31.8,98.0,38.5,146.2,35.4,86.0,76.9,73.3,78.6,34.3,55.3
2021,Tai Po,Male,4.1,19.2,20.3,17.3,56.8,23.9,84.9,36.4,93.9,94.1,92.7,93.6,43.7,67.0
2021,Tai Po,Female,3.8,16.5,17.4,15.5,49.5,15.8,69.2,33.9,80.7,72.4,68.8,73.7,26.7,50.2
2021,Tai Po,Both sexes,8.0,35.8,37.7,32.8,106.4,39.7,154.1,35.2,87.3,82.6,79.6,83.2,34.8,58.2
2021,Sha Tin,Male,8.9,37.1,43.6,39.5,120.2,47.9,177.0,32.6,93.4,93.6,90.7,92.6,40.6,64.3
2021,Sha Tin,Female,8.3,34.2,37.1,37.2,108.4,32.9,149.5,32.7,84.9,69.3,68.8,73.3,24.8,49.0
2021,Sha Tin,Both sexes,17.1,71.3,80.7,76.7,228.7,80.8,326.6,32.6,89.1,80.6,78.6,82.3,32.3,56.2
2021,Sai Kung,Male,6.3,28.3,30.6,31.3,90.2,34.0,130.6,31.2,94.5,96.6,91.7,94.2,44.8,68.0
2021,Sai Kung,Female,6.7,27.0,26.2,29.7,82.9,22.2,111.7,35.0,82.5,71.3,69.9,74.1,27.0,52.4
2021,Sai Kung,Both sexes,12.9,55.3,56.7,61.0,173.1,56.2,242.3,33.1,88.3,83.1,79.6,83.4,35.5,59.8
2021,Islands,Male,3.5,11.0,11.1,10.8,32.9,12.1,48.5,40.3,94.3,92.4,90.8,92.5,44.0,67.6
2021,Islands,Female,3.1,9.7,9.8,10.5,30.0,8.6,41.7,37.6,74.7,63.8,68.7,68.8,31.6,52.7
2021,Islands,Both sexes,6.6,20.7,20.9,21.3,62.9,20.7,90.1,39.0,84.0,76.3,78.3,79.4,37.8,59.8
2021,Whole Territory,Male,102.3,409.7,441.8,441.0,1292.5,525.4,1920.2,34.4,93.4,95.0,91.4,93.2,42.4,65.7
2021,Whole Territory,Female,97.1,374.4,379.9,412.6,1166.8,358.6,1622.6,34.1,81.9,69.3,68.2,72.5,26.1,49.6
2021,Whole Territory,Both sexes,199.5,784.1,821.6,853.6,2459.3,884.0,3542.8,34.3,87.5,81.1,78.5,82.1,33.8,57.2
2020,Central and Western,Male,3.4,13.9,13.8,13.0,40.8,19.2,63.4,35.0,92.9,96.3,91.9,93.7,48.4,68.2
2020,Central and Western,Female,3.3,15.9,10.4,11.0,37.3,12.1,52.6,32.8,84.9,74.9,69.9,77.2,28.3,52.1
2020,Central and Western,Both sexes,6.7,29.8,24.2,24.0,78.0,31.2,116.0,33.9,88.5,85.8,80.4,85.0,38.0,59.8
2020,Wan Chai (3),Male,2.0,8.8,9.8,10.0,28.6,15.0,45.6,32.9,94.9,94.1,92.3,93.7,50.9,69.0
2020,Wan Chai (3),Female,1.7,10.1,7.9,8.0,25.9,9.0,36.6,27.4,83.4,75.4,65.5,74.7,27.5,49.8
2020,Wan Chai (3),Both sexes,3.7,18.9,17.7,17.9,54.5,23.9,82.2,30.1,88.4,84.7,78.1,83.6,38.6,58.9
2020,Eastern (3),Male,7.1,28.6,32.7,31.7,92.9,39.0,139.0,33.3,93.8,96.4,91.5,93.9,43.2,66.0
2020,Eastern (3),Female,8.0,27.8,29.7,30.6,88.1,26.6,122.8,37.0,86.3,75.5,72.1,77.3,26.2,51.7
2020,Eastern (3),Both sexes,15.1,56.4,62.4,62.3,181.0,65.6,261.8,35.1,90.0,85.1,80.8,85.0,34.2,58.4
2020,Southern,Male,3.7,12.9,15.3,16.1,44.2,19.8,67.8,34.4,92.8,97.7,92.7,94.4,46.4,67.5
2020,Southern,Female,4.0,11.8,13.5,15.3,40.7,13.6,58.3,37.5,78.8,75.1,74.2,75.8,28.5,52.1
2020,Southern,Both sexes,7.7,24.7,28.8,31.4,84.9,33.4,126.1,35.9,85.5,85.6,82.7,84.5,37.0,59.4
2020,Yau Tsim Mong,Male,5.2,19.6,18.5,17.9,56.1,24.7,86.0,37.3,93.5,93.9,90.3,92.6,45.3,66.6
2020,Yau Tsim Mong,Female,4.8,18.9,16.0,18.3,53.2,15.8,73.7,35.7,84.9,67.5,70.2,73.8,28.3,52.3
2020,Yau Tsim Mong,Both sexes,10.0,38.5,34.5,36.3,109.3,40.5,159.7,36.5,89.1,79.5,78.9,82.4,36.7,59.1
2020,Sham Shui Po,Male,6.1,24.5,26.4,25.9,76.8,29.1,111.9,33.1,92.1,92.7,88.0,90.9,42.1,65.1
2020,Sham Shui Po,Female,6.3,21.7,24.5,25.6,71.8,19.1,97.3,35.3,77.5,69.3,69.0,71.5,25.6,50.4
2020,Sham Shui Po,Both sexes,12.4,46.2,51.0,51.5,148.6,48.2,209.2,34.2,84.6,79.7,77.4,80.3,33.5,57.3
2020,Kowloon City,Male,4.5,26.3,24.1,22.2,72.6,30.4,107.5,26.6,91.6,95.2,91.6,92.8,44.6,65.8
2020,Kowloon City,Female,5.6,22.8,19.5,22.9,65.2,19.9,90.6,32.1,79.3,69.3,71.1,73.2,25.8,49.4
2020,Kowloon City,Both sexes,10.1,49.1,43.6,45.1,137.7,50.3,198.1,29.4,85.4,81.6,79.9,82.3,34.6,57.1
2020,Wong Tai Sin,Male,7.3,22.2,23.7,25.1,71.0,30.9,109.2,40.1,90.6,93.2,90.4,91.4,42.6,64.8
